timestamp,type,key,keysym,char,printable,note
2025-10-29 08:19:30.557434  UTC,KEY,h,h,h,True,
2025-10-29 08:19:30.850310  UTC,KEY, ,space, ,True,
2025-10-29 08:19:30.874146  UTC,KEY,g,g,g,True,
2025-10-29 08:19:31.065193  UTC,KEY,y,y,y,True,
2025-10-29 08:19:31.258511  UTC,KEY, ,space, ,True,
2025-10-29 08:19:31.382256  UTC,KEY,y,y,y,True,
2025-10-29 08:19:31.541009  UTC,KEY,i,i,i,True,
2025-10-29 08:19:32.543202  UTC,KEY,i,i,i,True,
2025-10-29 08:19:32.587005  UTC,KEY,u,u,u,True,
2025-10-29 08:19:32.759199  UTC,KEY, ,space, ,True,
2025-10-29 08:19:32.818915  UTC,KEY,i,i,i,True,
2025-10-29 08:19:33.081283  UTC,KEY, ,space, ,True,
2025-10-29 08:19:33.838372  UTC,KEY,f,f,f,True,
2025-10-29 08:19:34.101321  UTC,KEY, ,space, ,True,
2025-10-29 08:19:34.378360  UTC,KEY,t,t,t,True,
2025-10-29 08:19:34.477265  UTC,KEY, ,space, ,True,
2025-10-29 08:19:34.478805  UTC,KEY,f,f,f,True,
2025-10-29 08:19:34.681246  UTC,KEY,t,t,t,True,
2025-10-29 08:19:35.601694  UTC,KEY,f,f,f,True,
2025-10-29 08:19:35.692828  UTC,KEY,h,h,h,True,
2025-10-29 08:19:35.717524  UTC,KEY,g,g,g,True,
2025-10-29 08:19:35.865570  UTC,KEY,v,v,v,True,
2025-10-29 08:19:35.965532  UTC,KEY,g,g,g,True,
2025-10-29 08:19:36.115172  UTC,KEY,v,v,v,True,
2025-10-29 08:19:36.149291  UTC,KEY,c,c,c,True,
2025-10-29 08:19:36.233016  UTC,KEY,h,h,h,True,
2025-10-29 08:19:36.357505  UTC,KEY,f,f,f,True,
2025-10-29 08:19:36.527449  UTC,KEY,y,y,y,True,
2025-10-29 08:19:36.715811  UTC,KEY,r,r,r,True,
2025-10-29 08:19:36.834056  UTC,KEY,7,7,7,True,
2025-10-29 08:19:36.864265  UTC,KEY,[REDACTED],6,,False,AUTO-REDACTED
