=== Session metadata ===
{
  "consent_name": "Ahmad",
  "consent_ts": "2025-10-29 12:59:28.462913  UTC",
  "os": "Windows",
  "username": "ahmad",
  "app_version": "EthicalKeystrokeViewer v3",
  "duration_sec": 197,
  "events_count": 226,
  "saved_at": "2025-10-29 13:02:33.168870  UTC"
}
========================

2025-10-29 12:59:30.135145  UTC — g (keysym=g) 
2025-10-29 12:59:30.196180  UTC — h (keysym=h) 
2025-10-29 12:59:30.472981  UTC — y (keysym=y) 
2025-10-29 12:59:30.610483  UTC —   (keysym=space) 
2025-10-29 12:59:30.614656  UTC — f (keysym=f) 
2025-10-29 12:59:30.729283  UTC — u (keysym=u) 
2025-10-29 12:59:30.996344  UTC — i (keysym=i) 
2025-10-29 12:59:31.094614  UTC — y (keysym=y) 
2025-10-29 12:59:31.208906  UTC — 8 (keysym=8) 
2025-10-29 12:59:31.227171  UTC — 9 (keysym=9) 
2025-10-29 12:59:31.319400  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:31.461744  UTC — [REDACTED] (keysym=v) AUTO-REDACTED
2025-10-29 12:59:31.580937  UTC — [REDACTED] (keysym=8) AUTO-REDACTED
2025-10-29 12:59:31.604147  UTC — [REDACTED] (keysym=6) AUTO-REDACTED
2025-10-29 12:59:31.733220  UTC — [REDACTED] (keysym=8) AUTO-REDACTED
2025-10-29 12:59:31.736570  UTC — F8 (keysym=F8) 
2025-10-29 12:59:31.873726  UTC — [REDACTED] (keysym=6) AUTO-REDACTED
2025-10-29 12:59:31.991533  UTC — [REDACTED] (keysym=8) AUTO-REDACTED
2025-10-29 12:59:32.154477  UTC — [REDACTED] (keysym=space) AUTO-REDACTED
2025-10-29 12:59:32.313041  UTC — [REDACTED] (keysym=u) AUTO-REDACTED
2025-10-29 12:59:32.440443  UTC — h (keysym=h) 
2025-10-29 12:59:32.474873  UTC — b (keysym=b) 
2025-10-29 12:59:32.632386  UTC — i (keysym=i) 
2025-10-29 12:59:32.851302  UTC — 7 (keysym=7) 
2025-10-29 12:59:33.054299  UTC — 8 (keysym=8) 
2025-10-29 12:59:33.119424  UTC — [REDACTED] (keysym=6) AUTO-REDACTED
2025-10-29 12:59:33.243217  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:33.249312  UTC — [REDACTED] (keysym=8) AUTO-REDACTED
2025-10-29 12:59:33.391620  UTC — [REDACTED] (keysym=v) AUTO-REDACTED
2025-10-29 12:59:33.574890  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:33.665263  UTC — [REDACTED] (keysym=t) AUTO-REDACTED
2025-10-29 12:59:33.754430  UTC — [REDACTED] (keysym=8) AUTO-REDACTED
2025-10-29 12:59:33.812203  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:34.004928  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:34.177620  UTC — [REDACTED] (keysym=e) AUTO-REDACTED
2025-10-29 12:59:34.282922  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:34.353242  UTC — [REDACTED] (keysym=space) AUTO-REDACTED
2025-10-29 12:59:34.430416  UTC — [REDACTED] (keysym=f) AUTO-REDACTED
2025-10-29 12:59:34.609187  UTC — j (keysym=j) 
2025-10-29 12:59:34.615182  UTC — h (keysym=h) 
2025-10-29 12:59:34.694910  UTC — v (keysym=v) 
2025-10-29 12:59:34.774157  UTC — j (keysym=j) 
2025-10-29 12:59:34.779154  UTC — h (keysym=h) 
2025-10-29 12:59:34.886425  UTC — j (keysym=j) 
2025-10-29 12:59:34.907053  UTC — v (keysym=v) 
2025-10-29 12:59:35.031106  UTC — v (keysym=v) 
2025-10-29 12:59:35.048106  UTC — j (keysym=j) 
2025-10-29 12:59:35.111732  UTC — h (keysym=h) 
2025-10-29 12:59:35.215286  UTC — v (keysym=v) 
